date,hour,air_temp_1m,air_temp_5m
5/23/22,200,,-7.92
5/23/22,300,,-7.801
5/23/22,400,,-7.739
5/23/22,500,,-6.752
5/23/22,600,,-3.129
5/23/22,700,,0.852
5/23/22,800,,4.039
5/23/22,900,,5.608
5/23/22,1000,,6.569
5/23/22,1100,,7.232
5/23/22,1200,,7.666
5/23/22,1300,,8.16
5/23/22,1400,,8.67
5/23/22,1500,,8.93
5/23/22,1600,,7.013
5/23/22,1700,,6.661
5/23/22,1800,,7.432
5/23/22,1900,,7.337
5/23/22,2000,,7.632
5/23/22,2100,,7.723
5/23/22,2200,,4.979
5/23/22,2300,,1.992
5/23/22,2400,,1.311
5/24/22,100,,0.357
5/24/22,200,,-0.249
5/24/22,300,,-0.385
5/24/22,400,,0.124
5/24/22,500,,3.017
5/24/22,600,,3.579
5/24/22,700,,4.835
5/24/22,800,,6.032
5/24/22,900,,6.117
5/24/22,1000,,5.831
5/24/22,1100,,5.762
5/24/22,1200,,5.734
5/24/22,1300,,5.827
5/24/22,1400,,6.25
5/24/22,1500,,6.669
5/24/22,1600,,6.442
5/24/22,1700,,6.324
5/24/22,1800,,6.066
5/24/22,1900,,5.876
5/24/22,2000,,5.189
5/24/22,2100,,5.2
5/24/22,2200,,4.881
5/24/22,2300,,4.456
5/24/22,2400,,1.141
5/25/22,100,,-0.223
5/25/22,200,,-0.66
5/25/22,300,,-0.536
5/25/22,400,,0.413
5/25/22,500,,2.121
5/25/22,600,,4.369
5/25/22,700,,6.023
5/25/22,800,,6.892
5/25/22,900,,7.688
5/25/22,1000,,7.952
5/25/22,1100,,7.762
5/25/22,1200,,7.703
5/25/22,1300,,8.28
5/25/22,1400,,7.073
5/25/22,1500,,6.054
5/25/22,1600,,6.946
5/25/22,1700,,8.02
5/25/22,1800,,7.086
5/25/22,1900,,6.188
5/25/22,2000,,5.659
5/25/22,2100,,5.413
5/25/22,2200,,5.061
5/25/22,2300,,4.648
5/25/22,2400,,3.845
5/26/22,100,,3.662
5/26/22,200,,3.391
5/26/22,300,,2.336
5/26/22,400,,2.18
5/26/22,500,,2.336
5/26/22,600,,3.738
5/26/22,700,,3.996
5/26/22,800,,4.344
5/26/22,900,,4.571
5/26/22,1000,,5.802
5/26/22,1100,,5.935
5/26/22,1200,,6.112
